source,entry,maturityGroup,traits,seedTreatment ,bshl_acr,harvestType
Hubner,H28-50XF,2.8,XtendFlex,Acceleron,54.8,early
Seed Consultants,SC7302E,3,Enlist,LumiGEN / ILeVO,54.6,early
Revere Seed,Innotech 2818E3,2.8,Enlist E3,Radius Premium,54.3,early
Chemgro Seeds,C3054E,3,Enlist E3,Chemgro gro-Tek,53.2,early
Lakeview Farms,LVF2849,2.8,Conv,EclipseUS Quad-R IM SDS 75,53,early
Xitavo Soybean Seed,XO 2921E,2.9,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",52,early
Seed Consultants,SC7282E,2.8,Enlist,LumiGEN / ILeVO,51.4,early
Nutrien/Dyna-Gro,S29EN62,2.9,Enlist E3,"Equity VIP, Saltro, Vayantis",50.9,early
"Perdue AgriBusiness, LLC",P30UI22,3,Non-GMO,None,50.9,early
Xitavo Soybean Seed,XO 2963E,2.9,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",50.5,early
Nutrien/Dyna-Gro,S28XF92S,2.8,XtendFlex,"Equity VIP, Saltro, Vayantis",50.4,early
Revere Seed,2424XF,2.4,XtendFlex,Radius Premium,49.9,early
Nutrien/Dyna-Gro,S28EN22,2.8,Enlist E3,"Equity VIP, Saltro, Vayantis",49.6,early
Xitavo Soybean Seed,XO 2832E,2.8,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",49.4,early
Channel Seed,2823RXF,2.8,XtendFlex,Acceleron F+I/ILeVO,48.5,early
Seed Consultants,SC7280E,2.8,Enlist,LumiGEN / ILeVO,47.6,early
Hubner,H29-22XF,2.9,XtendFlex,Acceleron,47.5,early
Hubner,H30-42XF,3,XtendFlex,Acceleron,47.4,early
Seed Consultants,SC7252E,2.5,Enlist,LumiGEN / ILeVO,44.9,early
"Perdue AgriBusiness, LLC",P29UI22,2.9,Non-GMO,None,40.7,early
"Perdue AgriBusiness, LLC",P18MO22,1.8,Non-GMO,None,33.7,early
Xitavo Soybean Seed,XO 3752E,3.7,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",65,late
Xitavo Soybean Seed,XO 3861E,3.8,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",59.5,late
Chemgro Seeds,C3855E,3.8,Enlist E3,Chemgro gro-Tek,58,late
Xitavo Soybean Seed,XO 3341E,3.3,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",57,late
Xitavo Soybean Seed,XO 3131E,3.1,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",56.6,late
Seed Consultants,SC7341E,3.4,Enlist,LumiGEN / ILeVO,56.3,late
Seed Consultants,SC7372E,3.7,Enlist,LumiGEN / ILeVO,55.8,late
Revere Seed,3316XF,3.3,XtendFlex,Radius Premium,55.6,late
Channel Seed,3521RXF,3.5,XtendFlex,Acceleron F+I/ILeVO,55,late
Lakeview Farms,LVF3648,3.6,Conventional,EclipseUS Quad-R IM SDS 75,54.7,late
Syngenta,S33-W2E3S,3.3,Enlist E3,Cruisermaxx Beans + Vibrance + Saltro,54.7,late
Xitavo Soybean Seed,XO 3922E,3.9,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",54.4,late
Xitavo Soybean Seed,XO 3483E,3.4,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",54,late
Lakeview Farms,LVF3530,3.5,Conventional,EclipseUS Quad-R IM SDS 75,53.9,late
Xitavo Soybean Seed,XO 3651E,3.6,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",53.7,late
Chemgro Seeds,C3755XF,3.7,XtendFlex,Chemgro gro-Tek,53.3,late
Xitavo Soybean Seed,XO 4132E,4.1,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",53.2,late
Lakeview Farms,LVF3949,3.9,Conventional,EclipseUS Quad-R IM SDS 75,53,late
Chemgro Seeds,C3655E,3.6,Enlist E3,Chemgro gro-Tek,52.9,late
Nutrien/Dyna-Gro,S33EN42,3.3,Enlist E3,"Equity VIP, Saltro, Vayantis",52.8,late
Nutrien/Dyna-Gro,S35ES82,3.5,Enlist E3,"Equity VIP, Saltro, Vayantis",52.8,late
Nutrien/Dyna-Gro,S36ES70,3.6,Enlist E3,"Equity VIP, Saltro, Vayantis",52.8,late
Revere Seed,Innotech 3444E3S,3.4,Enlist E3/STS,Radius Premium,52.7,late
Nutrien/Dyna-Gro,S37ES52,3.7,Enlist E3,"Equity VIP, Saltro, Vayantis",52.5,late
Xitavo Soybean Seed,XO 3402E,3.4,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",52.5,late
Chemgro Seeds,C3354E,3.3,Enlist E3,Chemgro gro-Tek,52.3,late
Lakeview Farms,LVF3653B,3.6,Conventional,EclipseUS Quad-R IM SDS 75,52.1,late
Revere Seed,3626XFS,3.6,XtendFlex,Radius Premium,52.1,late
FS Highsoy,HS 43E00,4.3,Enlist E3,Acceleron Std.,52,late
FS Highsoy,HS 39F12,3.9,XtendFlex,Acceleron Std.,51.5,late
FS Highsoy,HS 39E80,3.9,Enlist E3,Acceleron Std.,51.5,late
Channel Seed,3223RXF,3.2,XtendFlex,Acceleron F+I/ILeVO,51.5,late
Seed Consultants,SC7381E,3.8,Enlist,LumiGEN / ILeVO,51.2,late
"Perdue AgriBusiness, LLC",P41MO21,4.1,Non-GMO,None,50.8,late
Xitavo Soybean Seed,XO 3803E,3.8,Enlist E3,"Poncho/Votivo, ILeVO, Obvius Plus, and Relenya",50.8,late
Channel Seed,3122RXF,3.1,XtendFlex,Acceleron F+I/ILeVO,50.4,late
Seed Consultants,SC7322E,3.2,Enlist,LumiGEN / ILeVO,50.4,late
FS Highsoy,HS 41E20,4.1,Enlist E3,Acceleron Std.,50.3,late
Nutrien,S31EN91,3.1,Enlist E3,"Equity VIP, Saltro, Vayantis",50,late
Revere Seed,Innotech 3958E3,3.9,Enlist E3,Radius Premium,49.8,late
Channel Seed,3721RXF,3.7,XtendFlex,Acceleron F+I/ILeVO,49.6,late
Revere Seed,Innotech 3750E3S,3.7,Enlist E3/STS,Radius Premium,49.5,late
Revere Seed,Innotech 3196E3,3.1,Enlist E3,Radius Premium,49.4,late
Chemgro Seeds,C3255XF,3.2,XtendFlex,Chemgro gro-Tek,49.2,late
Channel Seed,3322RXF,3.3,XtendFlex,Acceleron F+I/ILeVO,49,late
Hubner,H31-32XF,3.1,XtendFlex,Acceleron,48.2,late
Lakeview Farms,LVF3641,3.6,Conventional,EclipseUS Quad-R IM SDS 75,48.1,late
Lakeview Farms,LVF3230,3.2,Conventional,EclipseUS Quad-R IM SDS 75,47.9,late
Seed Consultants,SC7332E,3.3,Enlist,LumiGEN / ILeVO,47.6,late
Nutrien/Dyna-Gro,S33XF62,3.3,XtendFlex,"Equity VIP, Saltro, Vayantis",46.1,late
Revere Seed,3908XFS,3.9,XtendFlex/STS,Radius Premium,45.2,late
Hubner,H33-52XF,3.3,XtendFlex,Acceleron,45.2,late
"Perdue AgriBusiness, LLC",P41UI22,4.1,Non-GMO,None,44.9,late
Lakeview Farms,LVF3831,3.8,Conventional,EclipseUS Quad-R IM SDS 75,44,late
FS Highsoy,HS 43F20,4.3,XtendFlex,Acceleron Std.,43.1,late